CID,Host galaxy,Host coord,SIMBAD,HyperLEDA,NED,total_type,reference,comment
18323,Anon J001342+0039,00 13 42.879 +00 39 08.36,,,,,,
15132,SDSS J215847.98+001155.6,21 58 47.988 +00 11 55.60,,,,,,
18740,SDSS J010725.69+010237.3,01 07 25.696 +01 02 37.34,,,,,,
19353,SDSS J025227.18+001506.2,02 52 27.183 +00 15 06.27,,,,SF,"Hakobyan+,2012",
16073,SDSS J003225.84-010314.0,00 32 25.842 -01 03 14.05,,,,,,
5550,SDSS J001423.63+001959.4,00 14 23.638 +00 19 59.43,,,,Sb,,
16116,SDSS J234112.52-010621.4,23 41 12.526 -01 06 21.46,,,,,,
18030,SDSS J001943.97-002400.4,00 19 43.977 -00 24 00.43,,,,SF,"Hakobyan+,2012",
16165,,,,,,,,
13354,SDSS J015015.53-005312.1,01 50 15.537 -00 53 12.12,,,,SF,"Hakobyan+,2012",
310025,SDSS J022249.26-045352.2,02 22 49.26 -04 53 52.23,,,,,,
17253,SDSS J001158.44+005952.1,00 11 58.430 +00 59 51.33,,,,,,"S in Hakobyan+,2012"
16206,Anon J002309-0003,00 23 09.196 -00 03 12.88,,,,,,
17171,SDSS J214600.83-011309.6,21 46 00.8356666856 -01 13 09.702029406,,,,Pa,"Hakobyan+,2012",
440042,,,,,,,,
15425,SDSS J034214.65+002842.0,03 42 14.658 +00 28 42.08,,,,,,
3317,SDSS J014751.04+003825.5,01 47 51.064 +00 38 25.69,Sm/Im,,,Ir,,
17825,,,,,,,,
2689,SDSS J013936.00-004528.5,01 39 36.007 -00 45 28.56,,,,Pa,"Hakobyan+,2012",
390627,SDSS J141030.56+535355.7,14 10 30.56 +53 53 55.76,,,,,,
5103,SDSS J235932.24+004412.6,23 59 32.24 +00 44 12.67 ,,,,,,
120336,,,,,,,,
13411,SDSS J210045.53+001130.2,21 00 45.53 +00 11 30.20  ,,,,,,
20430,,,,,,,,
19174,SDSS J014238.34+010149.2,01 42 38.346 +01 01 49.25,,,,,,"S in Hakobyan+,2012"
3087,SDSS J012137.58-005837.7,01 21 37.585 -00 58 37.75,Sm/Im,,,Ir,,
19616,SDSS J022823.91+001109.6,02 28 23.914 +00 11 09.61,,,,SF,"Hakobyan+,2012",
20764,SDSS J014428.99+001347.2,01 44 28.998 +00 13 47.25,,,,SF,SDSS DR15,
12843,SDSS J213530.83-005846.6,21 35 30.8368859733 -00 58 46.687305080,,,,Pa,"Hakobyan+,2012",
12853,Anon J210703+0043,21 07 03.560 +00 43 24.25,,,,,,
350233,SDSS J095751.89+032856.2,09 57 51.89 +03 28 56.21,,,,,,
17389,SDSS J213310.81-005736.2,21 33 10.81 -00 57 36.21,,,,,,
12856,SDSS J221127.68+004520.1,22 11 27.688 +00 45 20.12,,,,SF,"Hakobyan+,2012",
12855,,,,,,,,
590005,2dFGRS TGN421Z167,10 04 04.5 +01 12 47,,,,,,
310039,[JSR2018] psc310039 Host G,02 24 51.734 -03 20 41.17,,,,,,
100090,[JSR2018] psc100090 Host G,08 47 18.713 +43 24 29.20,,,,,,
3080,SDSS J010743.60-010222.1,01 07 43.607 -01 02 22.11,Sa,,,Sa,,
120143,,,,,,,,
15897,SDSS J004643.58-010156.9,00 46 43.584 -01 01 56.95,,,,,,
15453,,,,,,,,
15648,SDSS J205452.51-001144.9,20 54 52.512 -00 11 44.95,,,,Pa,"Hakobyan+,2012",
14421,SDSS J020719.18+011507.2,02 07 19.184 +01 15 07.26,,,,Pa,"Hakobyan+,2012",
19969,SDSS J020738.36-001926.5,02 07 38.360 -00 19 26.55,,,,SF,"Hakobyan+,2012",
18604,SDSS J224340.96+002513.8,22 43 40.966 +00 25 13.80,,,,,,"S in Hakobyan+,2012"
19282,,,,,,,,
18807,SDSS J030633.91+004732.9,03 06 33.918 +00 47 32.99,,,,,,"S in Hakobyan+,2012"
14979,SDSS J033947.17+005931.6,03 39 47.171 +00 59 31.60,,,,,,
17218,SDSS J234441.23-000148.3,23 44 41.234 -00 01 48.38,,,,,,
15583,Anon J023055+0056,02 30 55.460 +00 56 46.48,,,,,,
17220,Anon J003848-0010,00 38 48.322 -00 10 45.25,,,,,,
370428,[JSR2018] psc370428 Host G,12 17 29.959 +47 32 53.55,,,,,,
14451,Anon J203246+0055,20 32 46.774 +00 55 37.11,,,,,,
5635,SDSS J221243.88-000206.2,22 12 43.894 -00 02 6.21,Sm/Im,,,Ir,,
15301,SDSS J213419.18+003519.6,21 34 19.182 +00 35 19.64,,,,,,
6936,SDSS J213256.13-004200.2,21 32 56.132 -00 42 00.22,Sm/Im,,,Ir,,
13045,Anon J230005+0032,23 00 05.9838816879 +00 32 15.120785970,,,,,,
300179,SDSS J232434.10+001337.0,23 24 34.10 +00 13 37.08,,,,,,
440285,SDSS J022713.19-040743.1,02 27 13.19 -04 07 43.12,,,,,,
2372,SDSS J024205.00-003227.7,02 42 05.000 -00 32 27.73,E/S0,,,E/S0,,
13254,SDSS J024814.09-002048.5,02 48 14.083 -00 20 48.53,,,,SF,"Hakobyan+,2012",
14284,SDSS J031611.84-003603.5,03 16 11.843 -00 36 03.54,,,,Pa,"Hakobyan+,2012",
350548,SDSS J083523.28+445449.1,08 35 23.28 +44 54 49.18,,,,,,
360112,SDSS J084241.44+433549.1,08 42 41.44 +43 35 49.17,,,,,,
17215,LEDA 1184310,03 39 42.584 +01 05 33.62,,,,Sab,"Hakobyan+,2012",
420159,SDSS J221444.21+011301.6,22 14 44.21 +01 13 01.62,,,,,,
330023,SDSS J022311.47-024648.2,02 23 11.47 -02 46 48.21,,,,,,
370595,SDSS J100159.59+011924.9,10 01 59.59 +01 19 24.96,,,,,,
15443,SDSS J031928.18-001904.8,03 19 28.186 -00 19 04.84,,,,SF,"Hakobyan+,2012",
17332,SDSS J025505.40-000851.6,02 55 05.405 -00 08 51.67,,,,,,
14984,SDSS J205520.03-000536.5,20 55 20.037 -00 05 36.50,,,,,,
1580,2MASX J03011802-0038427,03 01 17.9968259713 -00 38 42.448130373,,,,,,"AGN, S in Hakobyan+,2012"
17168,SDSS J223853.66-011002.0,22 38 53.669 -01 10 02.04,,,,,,
20048,SDSS J223713.94+004410.6,22 37 13.947 +00 44 10.65,,,,,,
15421,SDSS J021457.91+003609.7,02 14 57.916 +00 36 09.78,,,,SF,"Hakobyan+,2012",
8213,SDSS J235005.06-005517.5,23 50 05.061 -00 55 17.50,Sbc/Sc,,,Sbc,,
15461,SDSS J214723.57-002941.1 ,21 47 23.574 -00 29 41.10,,,,,,
6422,SDSS J231633.32-003948.4,23 16 33.324 -00 39 48.49,,,,,,
16281,SDSS J233146.12-004005.0,23 31 46.125 -00 40 05.08,,,,,,
05D2ah,[BMM2014] 533212,10 01 28.740 +01 51 47.04,,,,,,
370563,SDSS J100348.50+023846.2,10 03 48.50 +02 38 46.20,,,,,,
19101,,,,,,,,
5994,,,,,,,,
15365,SDSS J233813.58+011456.6,23 38 13.587 +01 14 56.61,,,,,,
12927,Anon J024708+0046,02 47 08.575 +00 46 30.99,,,,,,
18787,SDSS J015854.85-010137.0,01 58 54.858 -01 01 37.09,,,,,,"S in Hakobyan+,2012"
18749,SDSS J005011.18+004032.5,00 50 11.181 +00 40 32.60,,,,,,
440643,,,,,,,,
6304,SDSS J014559.74+011144.4,01 45 59.745 +01 11 44.46,Sm/Im,,,Ir,,
762,SDSS J010208.65-005246.7,01 02 08.657 -00 52 46.75,Sa,,,Sa,,
20687,Anon J010652+0109,01 06 52.290 +01 09 13.98,,,,,,
2440,SDSS J025032.13+004826.3,02 50 32.134 +00 48 26.39,,,,,,
370369,SDSS J100615.68+022424.7,10 06 15.68 +02 24 24.75 ,,,,,,
16276,,,,,,,,
16100,,,,,,,,
2246,SDSS J032021.71-005305.3,03 20 21.703 -00 53 5.15,Sm/Im,,,Ir,,
16099,SDSS J014541.09-010316.5,01 45 41.098 -01 03 16.54,,,,SF,"Hakobyan+,2012",
000236,SDSS J084619.48+440422.1,08 46 19.48 +44 04 22.13,,,,,,
15129,SDSS J211536.49-001918.1,21 15 36.499 -00 19 18.16,,,,SF,"Hakobyan+,2012",
15674,,,,,,,,
18768,,,,,,,,
13070,SDSS J235108.37-004447.6,23 51 08.372 -00 44 47.63,,,,SF,"Hakobyan+,2012",
18804,SDSS J014103.84-002653.8,01 41 03.847 -00 26 53.84,,,,,,
15222,SDSS J001124.57+004207.2,00 11 24.576 +00 42 07.29,,,,E/S0,"Hakobyan+,2012",Gzoo Vincent
360145,SDSS J105440.48+590107.9,10 54 40.48 +59 01 07.94,,,,,,
19658,,,,,,,,
17811,,,,,,,,
500504,SDSS J140950.19+532840.4,14 09 50.19 +53 28 40.48,,,,,,
110460,,,,,,,,
560150,SDSS J221550.46+011341.7,22 15 50.46 +01 13 41.78,,,,,,
470232,SDSS J083811.02+451205.6,08 38 11.02 +45 12 05.61,,,,,,
370308,SDSS J084516.26+432310.4,08 45 16.26 +43 23 10.47 ,,,,,,
13152,SDSS J002812.51+000704.7,00 28 12.51 +00 07 04.79 ,,,,,,
6780,,,,,,,,
14212,SDSS J220152.96+010240.1,22 01 52.96 +01 02 40.11,,,,,,
15203,SDSS J010256.34+001058.8,01 02 56.34 +00 10 58.82 ,,,,,,
16032,,,,,,,,
7243,SDSS J215219.02+002818.9,21 52 19.035 +00 28 18.77,Sm/Im,,,Ir,,
20581,,,,,,,,
15901,SDSS J020754.31-003207.2,02 07 54.31 -00 32 07.24,,,,,,
18965,SDSS J005402.21+010408.1,00 54 02.21 +01 04 08.10 ,,,,,,
110033,SDSS J021936.99-033147.8,02 19 36.99 -03 31 47.85 ,,,,,,
17801,SDSS J210422.51-005354.4,21 04 22.512 -00 53 54.40,,,,Sb,"Hakobyan+,2012",
15872,,,,,,,,
19913,SDSS J221502.93-002030.1,22 15 02.935 -00 20 30.17,S0/a,,,S0/a,,
15201,,,,,,,,
15467,,,,,,,,
140152,,,,,,,,
13641,,,,,,,,
200132,,,,,,,,
19425,,,,,,,,
550154,,,,,,,,
04D1dc,,,,,,,,
15259,,,,,,,,
460105,,,,,,,,
17875,,,,,,,,
14157,,,,,,,,
18940,,,,,,,,
7847,SDSS J020950.32-000342.1,02 09 50.328 -00 03 42.08,Sb,,,Sb,,
6933,,,,,,,,
2330,SDSS J002713.76+010715.0,00 27 13.771 +01 07 15.12,Sb,,,Sb,,
18466,,,,,,,,
18927,,,,,,,,
13305,SDSS J220424.03+004126.9,22 04 24.034 +00 41 26.93,,,,,,"Sburst, SDSS DR15;S in Hakobyan+,2012"
8495,SDSS J222102.64-004454.2,22 21 02.645 -00 44 54.24,Sb,,,Sb,,
110567,,,,,,,,
7473,,,,,,,,
14019,,,,,,,,
100206,,,,,,,,
17435,,,,,,,,
20364,,,,,,,,
19008,,,,,,,,
7512,,,,,,,,
20144,,,,,,,,
9467,SDSS J215548.23+011052.6,21 55 48.239 +01 10 52.69,Sa,,,Sa,,
5533,SDSS J215440.79+002446.0,21 54 40.795 +00 24 46.03,Sm/Im,,,Ir,,
15433,SDSS J005931.05-001524.1,00 59 31.054 -00 15 24.18,,,,,,"S in Hakobyan+,2012"
05D3kx,,,,,,,,
19230,,,,,,,,
000220,,,,,,,,
14331,,,,,,,,
15354,,,,,,,,
370098,,,,,,,,
480464,,,,,,,,
15229,,,,,,,,
13025,,,,,,,,
14846,,,,,,,,
330083,,,,,,,,
19992,,,,,,,,
550096,,,,,,,,
030066,,,,,,,,
13727,,,,,,,,
020096,,,,,,,,
13578,,,,,,,,
21033,,,,,,,,
180561,,,,,,,,
13072,SDSS J221950.56+000125.2,22 19 50.5598818606 +00 01 25.287225326,,,,SF,"Hakobyan+,2012",
120586,,,,,,,,
3452,SDSS J221841.11+003822.2,22 18 41.111 +00 38 22.21,Sm/Im,,,Ir,,
000006,,,,,,,,
040780,,,,,,,,
360140,,,,,,,,
430004,,,,,,,,
350047,,,,,,,,
12971,SDSS J002635.42-001811.8,00 26 35.426 -00 18 11.82,,,,Pa,"Hakobyan+,2012",
17223,,,,,,,,
110536,,,,,,,,
19341,,,,,,,,
15287,,,,,,,,
13511,SDSS J024226.71-004739.2,02 42 26.711 -00 47 39.23,,,,Pa,"Xavier+,2013","S in Hakobyan+,2012"
12881,,,,,,,,
310574,,,,,,,,
16350,,,,,,,,
17884,,,,,,,,
310042,,,,,,,,
470008,,,,,,,,
510251,,,,,,,,
580300,,,,,,,,
510550,,,,,,,,
460064,,,,,,,,
19023,,,,,,,,
14481,,,,,,,,
480064,,,,,,,,
20111,,,,,,,,
20088,,,,,,,,
13506,,,,,,,,
15466,,,,,,,,
3377,SDSS J033637.48+010443.7,03 36 37.48 +01 04 43.81,Sm/Im,,,Ir,,
000174,,,,,,,,
420407,,,,,,,,
18486,,,,,,,,
15057,,,,,,,,
17464,,,,,,,,
20039,,,,,,,,
000010,,,,,,,,
13835,,,,,,,,
15219,,,,,,,,
05D3mq,,,,,,,,
12977,,,,,,,,
3451,SDSS J221616.45+004228.1,22 16 16.455 +00 42 28.11 ,Sa,,,Sa,,
15161,SDSS J022322.22+004908.4,02 23 22.223 +00 49 08.47,,,,SF,"Hakobyan+,2012",
16213,,,,,,,,
450082,,,,,,,,
560152,,,,,,,,
19990,,,,,,,,
120585,,,,,,,,
3199,SDSS J221309.91+010301.6,,Sb,,,Sb,,
16106,,,,,,,,
15868,,,,,,,,
520077,,,,,,,,
390449,,,,,,,,
13689,,,,,,,,
5717,SDSS J011135.04-000021.4,01 11 35.043 -00 00 21.42,Sm/Im,,,Ir,,
500004,,,,,,,,
06D3gn,,,,,,,,
13655,,,,,,,,
5736,,,,,,,,
17552,SDSS J212917.10-010010.1,21 29 17.103 -01 00 10.13,,,,,,"S in Hakobyan+,2012"
9032,SDSS J223132.24-002937.1,22 31 32.24 -00 29 37.15,Sm/Im,,,Ir,,
310161,,,,,,,,
000034,,,,,,,,
1112,SDSS J223604.05-002229.7,22 36 04.051 -00 22 29.74,Sb,,,Sb,,
17340,,,,,,,,
12972,,,,,,,,
9457,SDSS J222315.51+001513.3,22 23 15.50 +00 15 13.30,Sa,,,Sa,,
19207,,,,,,,,
18325,SDSS J003537.64+002210.1,00 35 37.645 +00 22 10.15,,,,,,"S in Hakobyan+,2012"
8046,SDSS J023628.25+003042.6 ,02 36 28.254 +00 30 42.63,E/S0,,,E/S0,,
6108,SDSS J000713.57+002056.7,00 07 13.57 +00 20 56.79,Sm/Im,,,Ir,,
550041,,,,,,,,
020176,,,,,,,,
370498,,,,,,,,
14298,,,,,,,,
15440,,,,,,,,
2017,SDSS J215546.53+003536.4,21 55 46.53 +00 35 36.51,Sbc/Sc,,,Sbc,,
1253,SDSS J213511.66+000946.2,21 35 11.66 +00 09 46.24,Sbc/Sc,,,Sbc,,
05D1hk,,,,,,,,
520019,,,,,,,,
04D3ez,,,,,,,,
2422,,,,,,,,
20345,,,,,,,,
350235,,,,,,,,
2943,Anon J011049+0100,,Sm/Im,,,Ir,,
330022,,,,,,,,
13099,SDSS J235916.47-011502.5,23 59 16.476 -01 15 02.57,,,,SF,"Hakobyan+,2012",
110478,,,,,,,,
6315,SDSS J204155.82+010530.7,20 41 55.82 +01 05 30.75,Sm/Im,,,Ir,,
18463,,,,,,,,
520023,,,,,,,,
19702,,,,,,,,
06D3fp,,,,,,,,
18945,,,,,,,,
530037,,,,,,,,
03D4cj,,,,,,,,
510638,,,,,,,,
19002,,,,,,,,
160039,,,,,,,,
310051,,,,,,,,
6192,SDSS J231351.64+011526.2,23 13 51.64 +01 15 26.27,Sm/Im,,,Ir,,
380378,,,,,,,,
15356,,,,,,,,
420258,,,,,,,,
150254,,,,,,,,
100213,,,,,,,,
4046,,,,,,,,
20227,,,,,,,,
4000,SDSS J020404.01-002158.7,02 04 04.011 -00 21 58.76,Sm/Im,,,Ir,,
17791,,,,,,,,
18485,,,,,,,,
5957,SDSS J021902.35-001621.2,02 19 02.357 -00 16 21.27,Sm/Im,,,Ir,,
040201,,,,,,,,
6196,SDSS J223031.48-003008.6,22 30 31.485 -00 30 08.65,E/S0,,,E/S0,,
520188,,,,,,,,
06D3dt,,,,,,,,
15584,,,,,,,,
03D4ag,,,,,,,,
310238,,,,,,,,
16072,,,,,,,,
14261,,,,,,,,
500065,,,,,,,,
19128,,,,,,,,
350080,,,,,,,,
440050,,,,,,,,
20040,,,,,,,,
2165,,,,,,,,
13757,,,,,,,,
17809,,,,,,,,
091869,,,,,,,,
2789,SDSS J225648.48+002402.0,22 56 48.486 +00 24 02.04,E/S0,,,E/S0,,
350180,,,,,,,,
570056,,,,,,,,
21006,,,,,,,,
510113,,,,,,,,
19027,,,,,,,,
19596,,,,,,,,
03D3ba,,,,,,,,
390264,,,,,,,,
130755,,,,,,,,
420414,,,,,,,,
150509,,,,,,,,
6249,SDSS J001303.75-003712.9,00 13 03.754 -00 37 12.92,Sm/Im,,,Ir,,
580270,,,,,,,,
19794,,,,,,,,
13610,SDSS J214403.41+004331.7,21 44 03.419 +00 43 31.79,,,,SF,"Hakobyan+,2012",
420196,,,,,,,,
570025,,,,,,,,
6137,SDSS J203144.52+001441.8,20 31 44.52 +00 14 41.84,Sbc/Sc,,,Sbc,,
14735,,,,,,,,
120444,,,,,,,,
170428,,,,,,,,
5391,SDSS J032922.16-010542.9,03 29 22.16 -01 05 42.90,Sm/Im,,,Ir,,
20245,,,,,,,,
350078,,,,,,,,
350192,,,,,,,,
570022,,,,,,,,
06D4dh,,,,,,,,
460037,,,,,,,,
150457,,,,,,,,
7143,,,,,,,,
19818,,,,,,,,
350630,,,,,,,,
350027,,,,,,,,
440005,,,,,,,,
12883,,,,,,,,
15213,,,,,,,,
340334,,,,,,,,
560087,,,,,,,,
520062,,,,,,,,
6699,SDSS J213115.63-010326.3,21 31 15.63 -01 03 26.37,Sb,,,Sb,,
580104,,,,,,,,
5844,SDSS J215108.58-005034.0,,Sm/Im,,,Ir,,
16211,SDSS J231239.09+001557.5,23 12 39.098 +00 15 57.57,,,,Pa,"Hakobyan+,2012",
500100,,,,,,,,
21042,,,,,,,,
000420,,,,,,,,
6649,,,,,,,,
19632,,,,,,,,
20142,,,,,,,,
530112,,,,,,,,
15383,,,,,,,,
110716,,,,,,,,
15776,,,,,,,,
100163,,,,,,,,
080646,,,,,,,,
550059,,,,,,,,
440509,,,,,,,,
310188,,,,,,,,
7475,,,,,,,,
170078,,,,,,,,
330128,,,,,,,,
120085,,,,,,,,
05D2ab,,,,,,,,
050291,SDSS J161815.67+552302.3,16 18 15.675 +55 23 02.39,,,,,,"S in Hakobyan+,2012"
500301,,,,,,,,
18617,,,,,,,,
6924,,,,,,,,
14456,,,,,,,,
050303,,,,,,,,
530219,,,,,,,,
430003,,,,,,,,
13934,,,,,,,,
540163,,,,,,,,
13830,,,,,,,,
120369,,,,,,,,
4241,SDSS J004857.01-005419.8,00 48 57.01 -00 54 19.83,Sm/Im,,,Ir,,
480184,,,,,,,,
370394,,,,,,,,
4679,SDSS J012606.79+004036.9,01 26 06.79 +00 40 36.96,Sm/Im,,,Ir,,
580235,,,,,,,,
370344,,,,,,,,
03D1fc,,,,,,,,
20106,,,,,,,,
470041,,,,,,,,
130862,,,,,,,,
16093,,,,,,,,
500511,,,,,,,,
040782,,,,,,,,
04D3kr,,,,,,,,
470015,,,,,,,,
380318,,,,,,,,
580276,,,,,,,,
2533,,,,,,,,
04D3nh,,,,,,,,
320258,,,,,,,,
490521,,,,,,,,
470110,,,,,,,,
03D1bp,,,,,,,,
050301,,,,,,,,
310090,,,,,,,,
330089,,,,,,,,
160198,,,,,,,,
380279,,,,,,,,
05D2ie,,,,,,,,
04D2mc,,,,,,,,
070955,,,,,,,,
000196,,,,,,,,
050296,,,,,,,,
05D2hc,,,,,,,,
120400,,,,,,,,
19067,,,,,,,,
160197,,,,,,,,
05D2mp,,,,,,,,
03D3bl,,,,,,,,
04D2fs,,,,,,,,
04D3fk,,,,,,,,
160070,,,,,,,,
050293,,,,,,,,
160126,,,,,,,,
470244,,,,,,,,
420417,,,,,,,,
4577,,,,,,,,
560121,,,,,,,,
100358,,,,,,,,
190209,,,,,,,,
350083,,,,,,,,
04D1hd,,,,,,,,
15704,,,,,,,,
18091,,,,,,,,
510578,,,,,,,,
04D2cf,,,,,,,,
05D3jr,[HSP2005] J141928.768+525153.34,14 19 28.768 +52 51 53.34,E,,,E,,
390471,,,,,,,,
13136,,,,,,,,
05D4bm,,,,,,,,
320469,,,,,,,,
000199,,,,,,,,
03D3ay,,,,,,,,
05D4fo,,,,,,,,
05D4cw,,,,,,,,
16232,,,,,,,,
590031,,,,,,,,
7779,SDSS J204019.15-000022.8,,Sbc/Sc,,,Sbc,,
320099,,,,,,,,
500057,,,,,,,,
15456,,,,,,,,
110425,,,,,,,,
000011,,,,,,,,
040150,,,,,,,,
580275,,,,,,,,
14397,,,,,,,,
360139,,,,,,,,
050251,,,,,,,,
550218,,,,,,,,
420352,,,,,,,,
120086,,,,,,,,
05D4ff,,,,,,,,
18721,SDSS J001218.66-000439.5,00 12 18.663 -00 04 39.51,,,,Pa,"Hakobyan+,2012",
19757,,,,,,,,
110734,,,,,,,,
06D3ed,,,,,,,,
350050,,,,,,,,
05D4dt,,,,,,,,
450339,,,,,,,,
020090,,,,,,,,
06D4cq,,,,,,,,
520071,,,,,,,,
530251,,,,,,,,
04D2fp,,,,,,,,
05D2dw,,,,,,,,
05D3cf,,,,,,,,
440162,,,,,,,,
550137,,,,,,,,
110430,,,,,,,,
550202,,,,,,,,
04D4gg,,,,,,,,
490037,,,,,,,,
160200,,,,,,,,
110542,,,,,,,,
050003,,,,,,,,
110719,,,,,,,,
05D2cb,,,,,,,,
440236,,,,,,,,
100101,,,,,,,,
080723,,,,,,,,
04D1rh,,,,,,,,
06D4co,,,,,,,,
000142,,,,,,,,
050607,,,,,,,,
560027,,,,,,,,
040166,,,,,,,,
510266,,,,,,,,
06D3df,,,,,,,,
06D2gb,,,,,,,,
040137,,,,,,,,
03D3aw,,,,,,,,
050580,,,,,,,,
520016,,,,,,,,
04D2gb,,,,,,,,
120094,,,,,,,,
04D3gt,,,,,,,,
380199,,,,,,,,
510597,,,,,,,,
03D3cd,,,,,,,,
05D3lc,,,,,,,,
000215,,,,,,,,
03D4au,,,,,,,,
04D4jr,,,,,,,,
05D3mx,,,,,,,,
04D3df,,,,,,,,
04D4ju,,,,,,,,
370367,,,,,,,,
05D2bv,,,,,,,,
370329,,,,,,,,
310146,,,,,,,,
05D2ac,,,,,,,,
05D3dd,,,,,,,,
560054,,,,,,,,
120044,,,,,,,,
05D1ix,,,,,,,,
03D1ax,,,,,,,,
05D4af,,,,,,,,
06D2bk,,,,,,,,
350374,,,,,,,,
030006,,,,,,,,
510457,,,,,,,,
03D1au,,,,,,,,
310091,,,,,,,,
05D4av,,,,,,,,
090201,,,,,,,,
180313,,,,,,,,
110484,,,,,,,,
05D2dy,,,,,,,,
04D2mj,,,,,,,,
04D1pg,,,,,,,,
04D4in,,,,,,,,
05D3ci,,,,,,,,
310260,,,,,,,,
06D3el,,,,,,,,
450175,,,,,,,,
04D2gc,,,,,,,,
050005,,,,,,,,
06D2ca,,,,,,,,
06D2cc,,,,,,,,
05D4ek,,,,,,,,
05D2eb,,,,,,,,
05D4be,,,,,,,,
520041,,,,,,,,
04D4bq,,,,,,,,
050201,,,,,,,,
06D4bo,,,,,,,,
04D3hn,,,,,,,,
06D2ck,,,,,,,,
05D1ee,,,,,,,,
04D1hx,,,,,,,,
05D1kl,,,,,,,,
05D1cc,,,,,,,,
05D1dn,,,,,,,,
05D2dt,,,,,,,,
050203,,,,,,,,
06D3et,,,,,,,,
110721,,,,,,,,
03D4gf,,,,,,,,
05D1dx,,,,,,,,
05D3jq,,,,,,,,
05D3gp,,,,,,,,
03D1aw,,,,,,,,
04D1jg,,,,,,,,
05D4ej,,,,,,,,
04D1kj,,,,,,,,
04D1sa,,,,,,,,
05D1hm,,,,,,,,
05D4bf,,,,,,,,
04D1oh,,,,,,,,
03D4gg,,,,,,,,
04D2mh,,,,,,,,
05D3lr,,,,,,,,
05D4ef,,,,,,,,
03D4dy,,,,,,,,
05D2he,,,,,,,,
04D3do,,,,,,,,
04D4an,,,,,,,,
05D1ck,,,,,,,,
000202,,,,,,,,
04D3co,,,,,,,,
04D2an,,,,,,,,
03D4dh,,,,,,,,
04D4fx,,,,,,,,
160214,,,,,,,,
05D2ci,,,,,,,,
05D1cb,,,,,,,,
03D4at,,,,,,,,
04D1pu,,,,,,,,
05D4ag,,,,,,,,
05D2ec,,,,,,,,
04D3cy,,,,,,,,
05D3ax,,,,,,,,
05D3lb,,,,,,,,
05D3kt,,,,,,,,
04D1sk,,,,,,,,
05D3hs,,,,,,,,
05D3mh,,,,,,,,
03D1co,,,,,,,,
05D2bt,,,,,,,,
06D3cc,,,,,,,,
04D4ic,,,,,,,,
05D1ke,,,,,,,,
06D3em,,,,,,,,
03D4cz,,,,,,,,
04D4ib,,,,,,,,
06D4ba,,,,,,,,
05D2ck,,,,,,,,
05D4bj,,,,,,,,
05D4cq,,,,,,,,
04D2iu,,,,,,,,
05D2le,,,,,,,,
04D1si,,,,,,,,
04D4hu,,,,,,,,
05D3gv,,,,,,,,
05D3jh,,,,,,,,
04D1aj,,,,,,,,
06D3gh,,,,,,,,
05D4ev,,,,,,,,
06D3do,,,,,,,,
06D3bz,,,,,,,,
06D4bw,,,,,,,,
04D2gp,,,,,,,,
05D2fq,,,,,,,,
04D1pp,,,,,,,,
Frodo,,,,,,,,
05D2ct,,,,,,,,
05D1eo,,,,,,,,
05D3jk,,,,,,,,
Rakke,,,,,,,,
04D2ja,,,,,,,,
04D3fq,,,,,,,,
04D2kr,,,,,,,,
05D3jb,,,,,,,,
04D4im,,,,,,,,
04D3ks,,,,,,,,
04D3oe,,,,,,,,
05D2nt,,,,,,,,
05D3mn,,,,,,,,
05D4cn,,,,,,,,
05D1if,,,,,,,,
04D1qd,,,,,,,,
05D3hh,,,,,,,,
04D1de,,,,,,,,
04D4id,,,,,,,,
04D1pc,,,,,,,,
05D4bi,,,,,,,,
04D1jd,,,,,,,,
05D4cs,,,,,,,,
03D4fd,,,,,,,,
04D1ks,,,,,,,,
03D1fq,,,,,,,,
05D3dh,,,,,,,,
05D3ha,,,,,,,,
05D3cx,,,,,,,,
05D4gw,,,,,,,,
05D4dy,,,,,,,,
04D4dm,,,,,,,,
04D3ny,,,,,,,,
04D3mk,,,,,,,,
04D3nc,,,,,,,,
06D2ce,,,,,,,,
04D3lu,,,,,,,,
05D1cl,,,,,,,,
04D2al,,,,,,,,
05D4fg,,,,,,,,
05D4hn,,,,,,,,
06D2ga,,,,,,,,
05D1az,,,,,,,,
06D4ce,,,,,,,,
04D1hy,,,,,,,,
05D3kp,,,,,,,,
05D4dw,,,,,,,,
Manipogo,,,,,,,,
05D1er,,,,,,,,
04D1ff,,,,,,,,
05D1iz,,,,,,,,
04D4ii,,,,,,,,
05D1em,,,,,,,,
03D1ew,,,,,,,,
05D2nn,,,,,,,,
04D4bk,,,,,,,,
05D3cq,,,,,,,,
05D2by,,,,,,,,
03D4di,,,,,,,,
05D3ht,,,,,,,,
04D3gx,,,,,,,,
04D1ow,,,,,,,,
05D2bw,,,,,,,,
05D2ay,,,,,,,,
05D2ob,,,,,,,,
03D4cy,,,,,,,,
04D4jy,,,,,,,,
06D2cd,,,,,,,,
04D4ih,,,,,,,,
04D4hf,,,,,,,,
Vilas,,,,,,Early-type,"Meyers+,2012",2003xx
05D3la,,,,,,,,
03D4cx,,,,,,,,
04D1pd,,,,,,,,
04D3ml,,,,,,,,
04D4jw,,,,,,,,
05D3km,,,,,,,,
04D3nr,,,,,,,,
Patuxent,,,,,,Late-type,"Meyers+,2012",
Ombo,,,,,,Late-type,"Meyers+,2012",
